# Features,Type,Method,AUC,Accuracy,Precision,Recall,F1
1,Extraction,Kernel PCA,0.5504615384615386,0.49411764705882355,0.29507646195733195,0.49411764705882355,0.34826114007538156
1,Extraction,PCA,0.5606153846153846,0.4980392156862745,0.4935750958993427,0.4980392156862745,0.4435313739898804
1,Extraction,UMAP,0.5412307692307692,0.5294117647058825,0.5319719923334458,0.5294117647058825,0.5166909832439643
1,Selection,ANOVA F-value,0.704,0.6941176470588235,0.7695000144641465,0.6941176470588235,0.667835227220653
1,Selection,Chi-Squared,0.704,0.6941176470588235,0.7695000144641465,0.6941176470588235,0.667835227220653
1,Selection,Mutual Information,0.6793846153846154,0.6823529411764705,0.7648762114545706,0.6823529411764705,0.651963810581973
50,Extraction,Kernel PCA,0.5683076923076923,0.5058823529411764,0.3407330513904908,0.5058823529411764,0.364743858532778
50,Extraction,PCA,0.7627692307692309,0.6705882352941177,0.6917112655699552,0.6705882352941177,0.6593135910379283
50,Extraction,UMAP,0.5396923076923077,0.5529411764705883,0.585286916520037,0.5529411764705883,0.49277089385066464
50,Selection,ANOVA F-value,0.7796923076923077,0.7019607843137254,0.714233648654629,0.7019607843137254,0.6968480511393723
50,Selection,Chi-Squared,0.7695384615384617,0.6980392156862745,0.7060887176636702,0.6980392156862745,0.6938156833728382
50,Selection,Mutual Information,0.7541538461538462,0.7058823529411765,0.7227911012602384,0.7058823529411765,0.6990863694818892
100,Extraction,Kernel PCA,0.5683076923076923,0.5058823529411764,0.3407330513904908,0.5058823529411764,0.364743858532778
100,Extraction,PCA,0.7658461538461538,0.6784313725490196,0.6840466779289327,0.6784313725490196,0.674571283858669
100,Extraction,UMAP,0.5436923076923077,0.5215686274509804,0.528317395447955,0.5215686274509804,0.4740701205071396
100,Selection,ANOVA F-value,0.7744615384615385,0.7098039215686275,0.7271328729108614,0.7098039215686275,0.7025238338885286
100,Selection,Chi-Squared,0.7738461538461539,0.7058823529411764,0.7109753704378574,0.7058823529411764,0.7029999915184209
100,Selection,Mutual Information,0.7547692307692309,0.7019607843137254,0.709346579813926,0.7019607843137254,0.6992086718989852
200,Extraction,Kernel PCA,0.5683076923076923,0.5058823529411764,0.3407330513904908,0.5058823529411764,0.364743858532778
200,Extraction,PCA,0.7787692307692307,0.7098039215686274,0.7258384220710914,0.7098039215686274,0.7036121667391273
200,Extraction,UMAP,0.568,0.5450980392156863,0.5780895827660679,0.5450980392156863,0.4707156753401541
200,Selection,ANOVA F-value,0.760923076923077,0.6823529411764706,0.6968380099134576,0.6823529411764706,0.6742628646458089
200,Selection,Chi-Squared,0.7535384615384615,0.6980392156862745,0.7067441682308993,0.6980392156862745,0.6931404077508949
200,Selection,Mutual Information,0.7735384615384615,0.7058823529411764,0.7172504595160947,0.7058823529411764,0.7013819703659072
All Features,Baseline,Logistic Regression - Elastic Net,0.7691076923076924,0.6980392156862745,0.701657616319923,0.6980392156862745,0.695902733853398
