dataset,model_name,AUC,Accuracy,Precision,Recall,F1,runs,random_seeds
clr,Logistic Regression - Elastic Net,0.7720153846153843,0.7107843137254899,0.7147512706896925,0.7107843137254899,0.7089523807380341,100,7270;860;5390;5191;5734;6265;466;4426;5578;8322;1685;769;6949;2433;5311;5051;6420;1184;4555;3385;6396;8666;9274;2558;7849;2047;2747;9167;9998;189;2734;3005;4658;1899;7734;1267;1528;3556;3890;8838;5393;8792;8433;7513;2612;7041;9555;6235;5486;7099;9670;775;8226;3152;1585;3943;7555;3073;1021;3843;7989;9692;6873;5675;161;4297;995;7629;9467;1016;7869;6439;7892;6863;7916;8529;878;9268;4887;4859;6331;8571;8684;7208;5276;2062;64;8006;2568;5463;2027;2695;9687;5258;5618;6736;391;5892;3561;6184
rarefied,Light Gradient Boosting Model,0.7845384615384617,0.7064705882352935,0.7167759931690155,0.7064705882352935,0.7015994185579087,100,7270;860;5390;5191;5734;6265;466;4426;5578;8322;1685;769;6949;2433;5311;5051;6420;1184;4555;3385;6396;8666;9274;2558;7849;2047;2747;9167;9998;189;2734;3005;4658;1899;7734;1267;1528;3556;3890;8838;5393;8792;8433;7513;2612;7041;9555;6235;5486;7099;9670;775;8226;3152;1585;3943;7555;3073;1021;3843;7989;9692;6873;5675;161;4297;995;7629;9467;1016;7869;6439;7892;6863;7916;8529;878;9268;4887;4859;6331;8571;8684;7208;5276;2062;64;8006;2568;5463;2027;2695;9687;5258;5618;6736;391;5892;3561;6184
