Method,AUC,Accuracy,Precision,Recall,F1
Soft Voting,0.6374998461538461,0.5458823529411765,0.5454546917395214,0.5458823529411765,0.5447231835512436
Hard Voting,0.6506240000000001,0.6052941176470589,0.6270897786273983,0.6052941176470589,0.5915336847490732
Stacking,0.7839007692307692,0.7092156862745098,0.7105631074613831,0.7092156862745098,0.7082928004701851
